#{"t_start": 1787654605.559379, "env_id": "None"}
r,l,t
19.221616,53,176.651909
20.468506,76,176.706253
17.874183,139,176.798256
20.940214,169,176.918607
20.639482,133,177.008819
-9.850841,41,177.034855
0.82358,200,177.173519
-10.486799,29,177.195203
15.772203,87,177.258651
21.199585,80,177.745632
12.469778,86,177.800497
-21.133142,118,177.885567
16.136203,51,177.918053
10.387582,61,177.955245
18.239844,85,178.006619
-35.996628,20,178.018308
-41.810311,25,178.032585
3.000501,200,178.151335
-20.485608,58,178.19086
20.581587,81,178.241992
11.975811,68,178.284868
17.169201,138,178.380567
19.559701,91,178.861524
17.946002,51,178.896914
-1.982609,200,179.018889
16.627644,94,179.08126
1.460696,200,179.210533
-0.104818,200,179.333673
17.621044,35,179.355203
17.667474,88,179.410378
